Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
1937,0.0,20.16267493,69.49493048,171.5652454,0.869428158,89.19829488,96.21210468,76.90101961,191.6794045,52.43138929,0.0,0.0,768.5144919
1938,0.0,34.54806414,8.963746309,7.783209264,21.54244887,104.4016264,148.3192251,228.349542,146.8920428,30.34158051,0.0,0.0,731.1414854
1939,0.0,0.0,16.47450572,18.81068921,5.760051727,43.19423287,111.0023643,131.2187968,124.1481676,131.623445,14.56151026,0.0,596.7937635
1940,0.0,0.0,0.0,53.15744548,140.9574452,58.66778067,140.1498472,152.5527785,99.00235443,57.97680664,20.60483336,8.376065254,731.4453568
1941,6.832990766,8.296379805,0.495042145,16.25591453,29.2429544,58.10532707,76.36726726,97.99114703,124.3376155,23.98861144,0.225542456,0.541301906,442.6800944
1942,0.0,3.837680042,0.0,21.66556294,25.40767515,185.7034038,95.03744689,164.559578,73.82907742,9.081886768,0.4661211,0.0,579.588432
1943,0.0,0.0,2.288087934,41.96268833,37.78588313,185.2746874,96.1385904,66.89238539,267.4874305,92.55343252,3.992345333,0.0,794.3755308
1944,0.0,0.958455175,138.6912326,0.688749582,8.206885427,166.1622915,110.9772052,101.7562785,173.5973531,134.9623314,13.01006961,0.0,849.0108521
1945,1.041799188,1.166814923,0.0,34.6446695,2.317448258,125.1651598,236.6724891,155.939755,75.40628742,133.6394364,17.0486533,0.0,783.0425129
1946,0.0,24.00219357,0.0,15.33269215,20.90786424,101.9777532,173.6043137,77.38771775,79.65232428,18.91271061,70.65474477,0.0,582.4323142
1947,0.0,12.27394544,0.84202522,0.87935406,6.330502898,92.97807181,125.8353618,277.7839016,263.3432684,64.30483472,0.1250159,30.37224138,875.0685233
1948,1.375174761,0.0,0.315759458,47.40178187,6.203517169,51.03106372,155.5653895,132.9405553,116.0865684,24.93701699,138.2875775,0.0,674.1444047
1949,0.0,0.0,0.0,17.35270935,17.22336772,166.0269702,89.50128631,127.0624277,107.7197139,24.46141586,0.150361642,0.0,549.4982527
1950,0.0,17.01452303,1.6287729,0.208359823,13.97090219,54.98895629,272.1622019,150.3138973,322.7296799,36.76099899,0.0,0.0,869.7782924
1951,0.0,0.0,42.34461561,19.63373041,21.04589061,104.4112808,239.0292594,102.0665056,140.5224646,106.9962778,0.0,0.0,776.0500249
1952,0.0,0.0,0.796916783,12.89852467,52.15113533,62.20826617,98.44382621,105.5436535,64.11668252,91.10107875,0.442429692,1.383327149,489.0858408
1953,0.541301906,0.0,0.0,13.57822582,0.0,100.4194972,176.767363,107.9035038,158.2978188,294.5394233,1.375174761,0.0,853.4223086
1954,0.0,0.0,18.17240432,3.388307989,8.726210505,88.66183817,148.1060262,157.2061495,313.3818974,80.61827374,0.0,3.100052357,821.3611602
1955,0.0,0.0,5.129808426,5.30635915,15.40178663,140.2029854,152.0954893,337.6839434,281.8237931,78.60512489,0.0,0.0,1016.24929
1956,0.0,0.0,0.0,1.977998257,53.22984853,126.364628,242.2211136,128.9536603,123.0452603,67.55307998,36.46980971,0.0,779.8153987
1957,0.0,10.79569435,27.38327199,23.62411666,26.88261892,89.49621575,105.3177149,243.825035,96.27648495,40.9615002,0.0,0.0,664.5626528
1958,0.0,6.028086603,18.98752657,28.00442372,27.95510143,90.457073,217.7770209,276.645009,90.72630745,52.35433617,48.59147827,0.0,857.5263631
1959,0.0,0.0,0.0,7.212625027,5.355010599,112.0326548,230.7382318,287.9187183,134.5970116,83.61217326,3.121469975,0.213514701,864.80141
1960,0.0,0.0,40.52503502,1.433084279,31.1349472,130.0684271,120.8158228,38.62002157,287.0206876,25.21387243,37.66765866,23.58547211,736.0850288
1961,3.68032527,2.200120211,10.34338102,17.06052813,53.36165768,149.9224578,294.4698142,117.41355,102.9652401,197.6600935,13.97813761,0.567322075,963.6226276
1962,20.359321,36.16522175,0.0,40.25933868,26.53246391,110.60941,197.5549449,157.5960681,248.3536763,140.924755,41.20113087,44.73597062,1064.292301
1963,0.0,0.0,0.931782097,48.08575512,8.758716136,185.9485866,143.2589872,176.0325555,113.6510642,109.0569058,0.0,0.0,785.7243527
1964,0.0,3.060357094,0.0,10.94844007,10.17971998,148.8759355,104.2350944,104.2057616,356.589281,45.91242844,1.684175313,0.0,785.6911933
1965,0.194112718,0.0,9.608039916,0.310580358,8.727253526,49.04420249,265.6959223,121.1205779,176.1220829,0.0,0.0,0.0,630.8227722
1966,10.62543267,0.0,0.0,9.026541367,1.314172193,21.46455994,121.4739248,146.0711303,182.7421441,110.9332004,35.48695038,61.67880511,700.8168612
1967,0.0,0.0,38.12483346,18.36883818,0.194112718,87.78236267,296.3935817,157.4362348,176.8549011,9.899809182,0.0,14.87830076,799.9329747
1968,8.041522741,14.92618936,16.24043605,21.03806704,2.86838223,85.27190487,126.330957,17.51957422,262.4710992,90.55331933,16.73576736,0.396007419,662.3932269
1969,8.570028305,0.0,0.116472766,15.29339159,44.42733407,77.54904865,137.3888597,96.09075773,152.7676506,51.65317263,60.58774607,10.83500227,655.2794644
1970,3.2120471,6.143666938,7.388574243,32.69423619,67.82889445,159.3911779,83.44129579,295.8614993,189.6461731,55.6989758,0.0,0.0,901.3065408
1971,0.559069276,2.340447068,2.538019896,5.759526223,85.76798403,102.5956828,41.89608273,181.3657802,126.9328992,84.419293,0.0,0.0,634.1747844
1972,0.0,0.442596465,0.0,14.17314407,2.758978091,113.0162164,99.64548717,34.8288627,58.36473267,80.77332366,37.27052504,5.677738667,446.951605
1973,0.0,0.0,0.0,5.942665458,21.04210019,133.0216437,112.9704644,265.6209434,77.10857743,249.7117781,25.71185488,0.0,891.1300276
1974,0.0,0.0,0.0,3.49600184,15.76496965,64.21586716,48.33277571,200.6383778,179.0622165,295.8053896,3.577902794,0.0,810.893501
1975,35.47973824,10.81977606,35.8358885,0.326123714,28.83899991,74.56012861,141.0427086,190.2957042,372.6407844,238.3847475,14.35219613,0.0,1142.576796
1976,0.0,0.0,2.421123743,25.48545831,9.506138921,88.37223221,310.2581799,188.6091109,119.8987873,10.05745506,54.54935926,0.0,809.1578456
1977,0.0,0.0,0.0,26.3701846,39.48486912,59.21060899,191.2915931,193.9904245,11.33146369,105.350717,44.98495525,0.349418297,672.3642346
1978,31.3469778,53.83532763,1.263972282,17.04617691,42.7341347,140.667306,213.9171756,322.5068996,156.0485033,36.44671816,45.91327113,0.0,1061.726463
